Цифр. код,Букв. код,Единиц,Валюта,Курс
36,AUD,1,Австралийский доллар,383392
944,AZN,1,Азербайджанский манат,359975
51,AMD,100,Армянских драмов,151847
933,BYN,1,Белорусский рубль,245875
975,BGN,1,Болгарский лев,306977
986,BRL,1,Бразильский реал,117294
348,HUF,100,Венгерских форинтов,144493
410,KRW,1000,Вон Республики Корея,425030
344,HKD,10,Гонконгских долларов,780957
208,DKK,10,Датских крон,807098
840,USD,1,Доллар США,611958
978,EUR,1,Евро,598378
356,INR,100,Индийских рупий,742778
398,KZT,100,Казахстанских тенге,130685
124,CAD,1,Канадский доллар,445741
417,KGS,100,Киргизских сомов,740749
156,CNY,10,Китайских юаней,837320
498,MDL,10,Молдавских леев,315177
934,TMT,1,Новый туркменский манат,174845
578,NOK,10,Норвежских крон,570479
985,PLN,1,Польский злотый,124170
946,RON,1,Румынский лей,121338
960,XDR,1,СДР (специальные права заимствования),781397
702,SGD,1,Сингапурский доллар,428963
972,TJS,10,Таджикских сомони,598996
949,TRY,10,Турецких лир,329268
860,UZS,10000,Узбекских сумов,549511
980,UAH,10,Украинских гривен,166272
826,GBP,1,Фунт стерлингов Соединенного королевства,692675
203,CZK,10,Чешских крон,245009
752,SEK,10,Шведских крон,543301
756,CHF,1,Швейцарский франк,605959
710,ZAR,10,Южноафриканских рэндов,333278
392,JPY,100,Японских иен,406941
