id_performer;performer
99991;2маши
99992;лазарев
99993;мумий_тролль
99994;нюша
99995;classical_channel
99996;антоха_мс
99997;николаев
99998;виа_гра
99999;король_и_шут
100000;валерия
100001;кукрыниксы
100002;михаил_круг
100003;ария
100004;ирина_круг
100005;барских
100006;арбенина
100007;воровайки
100008;газманов
100009;краснознаменная_дивизия_имени_моей_бабушки
100010;чичерина
100011;ваенга
100012;би_2
100013;звери
100014;ногу_свело
100015;киркоров
100016;louna
100017;несчастный_случай
100018;тараканы
100019;тимати
100020;gazgolder
100021;noizemc
100022;темникова
100023;крид
100024;караулова
100025;земфира
100026;михайлов
100027;кока
100028;руки_вверх
100029;miyagi&эндшпиль
100030;план ломоносова
100031;шуфутинский
100032;ленинград
100033;rsac
100034;astudio
100035;pharaon
100036;наив
100037;serebro
100038;элджей
100039;смысловые_галлюцинации
100040;cбпч
100041;ддт
100042;электрофорез
100043;женя_любич
100044;пасош
100045;пугачёва
100046;гребенщиков
100047;loboda
100048;feduk
100049;lone
100050;oxxxymiron
100051;сектор_газа
100052;бузова
100053;казускома
100054;мальбэк
100055;буерак
100056;pompeya
100057;басков
100058;леонтьев
100059;буйнов
100060;retuses
100061;летов
100062;гражданская_оборона
100063;макsим
100064;билан
100065;лолита
100066;агата_кристи
100067;sonic_death
100068;ёлка
100069;градусы
100070;лепс
100071;гагарина
100072;агутин
100073;бутырка
100074;ротару
100075;ic3peak
100076;face
100077;motorama
100078;гш
100079;трофимов
100080;жека
100081;iowa
100082;грибы
100083;johnyboy
100084;кипелов
100085;сплин
100086;лсп
100087;интурист
100088;кино
100089;алоэ_вера
100090;хадн_дадн
100091;дюмин
100092;наадя
100093;рыцарные_рыцари
100094;монеточка
100095;меладзе
100096;порнофильмы
100097;гречка
100098;мот
100099;деревянные киты
100100;пошлая_молли
100101;хаски
