id_title;commentCount;dislikeCount;likeCount;id_music_style;id_performer;viewCount;commentators_uniq;comments_obscene_cnt;video_age
98765431;34;43;1402;12345;99991;214301;24;0;1141
98765432;36;90;512;12345;99991;74666;27;0;2160
98765433;5;5;132;12345;99991;17766;4;0;2164
98765434;5;14;153;12345;99991;15176;4;0;1317
98765435;51;79;1963;12345;99991;377074;28;0;1246
98765436;62;44;1014;12345;99991;113229;42;0;1235
98765437;10;9;198;12345;99991;24605;9;0;1196
98765438;983;1096;35661;12345;99991;3232013;585;9;315
98765439;412;318;8299;12345;99991;1099660;258;2;298
98765440;147;116;2492;12345;99991;240625;80;3;96
98765441;25;21;537;12345;99991;42047;16;0;494
98765442;0;2;22;12345;99991;2370;;;1236
98765443;8;10;204;12345;99991;10048;6;0;618
98765444;0;1;56;12345;99991;4819;;;813
98765445;0;3;74;12345;99991;5878;;;1030
98765446;10;4;127;12345;99991;6531;7;0;841
98765447;66;36;1413;12345;99991;107477;43;1;828
98765448;4;1;96;12345;99991;3795;4;0;1064
98765449;25;8;557;12345;99991;29057;20;0;795
98765450;55;85;1567;12345;99991;186665;41;0;244
98765451;9;6;210;12345;99991;13556;6;0;845
98765452;11;9;235;12345;99991;18726;9;0;350
98765453;17;26;523;12345;99991;48935;10;0;184
98765454;376;232;5449;12345;99991;285153;148;10;210
98765455;176;81;1282;12345;99991;88921;72;0;180
98765456;47;52;1444;12345;99991;276347;33;0;923
98765457;4090;14079;162063;12345;99991;38074573;934;35;105
98765458;284;602;7840;12345;99991;1994064;150;1;108
98765459;43;38;1894;12345;99991;171065;24;0;547
98765460;3;1;77;12345;99991;5342;3;0;938
98765461;3;2;27;12345;99991;2359;1;0;976
98765462;486;159;2665;12345;99991;189689;;;60
98765463;103;136;3640;12345;99991;775708;60;3;1283
98765464;2;1;44;12345;99991;3611;2;0;794
98765465;12;8;200;12345;99991;12022;11;0;540
98765466;17;5;370;12345;99991;12642;13;0;940
98765467;15;13;424;12345;99991;56509;7;1;1122
98765468;360;465;7947;12345;99991;909663;257;4;168
98765469;53;55;1112;12345;99991;212675;31;0;685
98765470;0;2;112;12345;99991;8025;;;1144
98765471;78;239;2495;12345;99991;484388;53;3;649
98765472;1;1;67;12345;99991;2891;1;0;927
98765473;13;17;376;12345;99991;34770;12;1;902
98765474;743;1477;24814;12345;99991;5846024;425;9;867
98765475;5;4;132;12345;99991;9304;3;0;1033
98765476;7644;35087;263755;12345;99991;115832162;1181;60;349
98765477;459;1536;13809;12345;99991;3396401;1181;60;568
98765478;457;496;12404;12345;99991;3066623;301;6;534
98765479;2;2;54;12345;99991;2864;2;0;1032
98765480;1101;3089;37561;12345;99991;12752964;499;13;239
98765481;30;16;544;12345;99991;37480;25;0;377
98765482;638;1908;20740;12345;99991;7384538;322;7;962
98765483;879;443;10949;12345;99991;2511807;775;4;734
98765484;125;88;2235;12345;99991;131633;88;2;202
98765485;20;4;430;12345;99991;23639;11;0;681
98765486;9;5;125;12345;99991;10372;7;0;486
98765487;0;1;18;12345;99991;1446;;;875
98765488;3;2;87;12345;99991;3650;1;0;822
98765489;28;12;469;12345;99991;20032;26;0;386
98765490;263;165;4896;12345;99991;647499;173;0;196
98765491;74;63;1420;12345;99991;96969;64;1;211
98765492;173;160;6678;12345;99991;1109048;124;1;498
98765493;19;9;312;12345;99991;20908;19;0;552
98765494;14;6;232;12345;99991;14570;9;0;945
98765495;1;4;60;12345;99991;3996;1;0;1030
98765496;799;411;14206;12345;99991;819273;456;4;336
98765497;3830;2244;58381;12345;99991;2655554;936;42;596
98765498;262;78;5504;12345;99991;206515;167;3;591
98765499;6;1;72;12345;99991;2931;4;0;1033
98765500;2;3;57;12345;99991;5543;1;0;979
98765501;66;26;1426;12345;99991;56721;43;0;453
98765502;16;25;586;12345;99991;81163;14;0;1041
98765503;1;1;52;12345;99991;2783;1;0;888
98765504;46;17;557;12345;99991;33536;31;0;219
98765505;1;1;25;12345;99991;1122;1;0;1331
98765506;0;4;35;12345;99991;3476;;;2239
98765507;7;3;98;12345;99991;4605;7;0;2142
98765508;6;8;43;12345;99991;3403;6;0;2252
98765509;7;10;89;12345;99991;5202;6;0;2524
98765510;4;2;76;12345;99991;4467;4;0;2127
98765511;9;8;77;12345;99991;6026;9;0;2531
98765512;9;5;101;12345;99991;9259;8;0;2169
98765513;47;47;674;12345;99991;85659;37;0;2031
98765514;3;2;19;12345;99991;1458;3;0;2194
98765515;47;36;1302;12345;99991;113160;39;0;1057
98765516;0;1;53;12345;99991;2173;;;900
