Country,Index Spread,Voice & Accountability,Political Stability,Govt. Effectiveness,Regulatory Quality,Rule of Law,Control of Corruption,Corruption percetion,Ease of Doing Business,Human Dev. Index,Global Compet. Index,Eviron. Performance Index,Fragile States Index,UN World Risk Index,Freedom of the Press Index
Slovakia,32,6,2,5,6,7,13,9,6,4,23,4,5,8,7
Poland,60,3,3,6,4,3,5,3,5,1,5,10,2,6,13
Lithuania,64,5,5,1,2,2,6,4,3,2,4,3,4,3,3
Latvia,69,7,11,2,3,4,7,6,1,6,12,2,7,7,6
Philippines,91,29,48,22,28,35,33,37,38,45,17,27,52,65,23
Hungary,123,12,4,9,8,11,14,12,11,5,26,5,11,21,22
India,126,19,52,23,43,20,29,24,52,54,7,61,45,39,21
Chile,129,4,13,3,1,1,2,2,17,3,3,17,3,59,10
Malaysia,133,41,18,4,7,6,8,10,4,14,1,24,19,32,52
Romania,135,18,17,28,9,15,17,14,8,10,21,8,12,26,16
China,140,65,41,10,39,33,24,23,28,32,2,49,36,33,64
Serbia,147,24,15,21,23,23,22,20,14,18,38,15,29,43,29
Peru,149,27,39,40,11,44,45,38,16,30,25,31,30,38,24
Panama,155,14,12,13,16,24,27,27,25,15,9,16,13,45,18
Croatia,164,15,10,8,17,13,11,11,12,7,30,1,10,13,17
Vietnam,171,63,25,25,49,31,36,43,30,44,19,58,25,61,61
Russia,176,56,55,34,51,50,56,54,10,9,10,7,48,12,60
Morocco,179,50,36,30,32,22,23,31,23,50,27,25,34,35,47
Indonesia,190,28,45,36,35,38,38,32,33,43,8,47,37,54,30
Uruguay,196,2,1,7,13,5,1,1,32,12,29,26,1,14,4
Guatemala,201,44,46,55,34,59,49,57,31,52,32,37,50,64,40
Colombia,202,34,56,27,14,32,25,30,15,35,20,21,47,34,38
Bolivia,215,33,34,52,59,63,48,45,57,47,57,33,43,18,35
Paraguay,228,36,26,61,38,49,58,52,41,41,54,36,33,9,41
Namibia,231,9,8,15,31,14,9,8,42,51,35,34,27,22,11
Kazakhstan,257,59,30,29,26,36,51,53,7,13,14,30,20,10,62
Mexico,258,37,51,19,15,41,50,49,13,24,13,28,24,28,45
Georgia,269,25,38,11,5,12,4,7,2,19,18,50,44,31,31
South Africa,277,8,33,14,19,18,16,15,26,48,11,35,23,25,15
Brazil,288,20,37,35,36,27,34,25,50,26,34,14,17,15,26
Turkey,293,43,57,18,18,21,19,21,24,20,16,42,41,20,57
Trinidad and Tobago,297,16,14,17,22,25,40,36,36,16,41,23,15,47,5
Oman,300,55,6,24,10,9,12,16,21,11,24,55,9,2,53
Senegal,304,22,32,45,33,26,15,18,56,62,51,53,51,55,27
Armenia,316,49,35,33,20,34,37,44,9,27,33,9,22,30,43
Pakistan,318,51,65,53,53,53,52,46,55,58,58,62,63,41,46
Dominican Republic,324,30,19,42,29,40,53,47,39,38,40,22,26,58,20
Honduras,325,47,40,60,45,57,42,51,40,53,37,38,46,56,50
Azerbaijan,335,64,47,37,37,47,55,50,20,25,6,6,40,24,65
Jamaica,339,11,20,16,24,28,26,26,22,34,31,19,16,60,2
Sri Lanka,340,42,27,26,30,17,28,33,44,22,28,48,54,46,42
Jordan,355,52,42,20,25,10,10,13,48,29,22,32,42,17,51
Costa Rica,372,1,9,12,12,8,3,5,18,17,15,11,6,63,1
Côte d’Ivoire,396,46,49,51,50,48,32,41,54,63,44,56,61,53,32
Kenya,415,38,58,41,41,42,60,60,34,57,43,54,62,40,39
Cameroon,415,54,53,59,58,58,61,61,62,61,56,60,60,57,49
Nigeria,425,45,63,62,57,61,62,58,63,60,59,59,64,49,33
Tunisia,426,26,50,32,44,19,18,22,27,36,42,18,35,23,36
Lebanon,428,48,61,47,40,52,57,56,51,23,45,39,56,19,37
Egypt,448,57,59,58,55,43,41,42,49,42,53,45,57,1,58
Ethiopia,457,62,60,50,62,39,31,40,59,64,50,64,59,42,63
Mongolia,463,23,7,44,42,37,39,28,19,33,46,51,14,5,14
Gabon,468,53,23,56,56,45,47,39,60,40,49,43,31,29,54
Argentina,483,21,29,31,61,55,44,34,47,8,47,12,8,11,25
Ghana,544,13,24,39,27,16,20,19,43,55,52,57,28,50,12
Zambia,549,35,21,49,46,30,30,29,37,56,55,46,53,44,44
El Salvador,564,31,28,38,21,46,35,35,35,46,48,41,32,62,19
Ukraine,585,32,62,48,52,54,59,55,29,28,36,13,38,4,34
Iraq,587,61,64,65,64,64,64,64,61,49,65,52,65,16,55
Angola,617,60,44,63,60,62,65,62,64,59,64,63,58,36,56
Suriname,655,17,16,43,54,29,43,17,58,37,62,40,21,51,9
Ecuador,705,39,31,46,63,60,46,48,46,31,39,44,39,48,48
Belize,732,10,22,54,47,51,21,65,45,39,63,29,18,37,8
Mozambique,1770,40,43,57,48,56,54,59,53,65,61,65,55,52,28
Venezuela,24,57,58,54,64,65,65,63,63,65,21,60,20,49,27
